Salary1,Salary2,Job_Type,Skill,No_of_Skills,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Revenue,Employees,Industry
80000-99999,90000,data_scientist,"Perl, Statisical Analysis, C/C++, Java, Troubleshooting, Python",6,130,4.199999809,7,CA,,,Government
80000-99999,90000,data_scientist,".Net, C#, Machine Learning",3,,,30,MA,,,
80000-99999,90000,data_scientist,"Microsoft SQL Server, Microsoft Powerpoint, Visual Basic, SAP, SQL, Tableau, Six Sigma Certification",7,184,4,13,MI,$5B to $10B ,"less than 10,000",Energy and Utilities
80000-99999,90000,data_scientist,"Data Mining, Machine Learning",2,732,4.400000095,30,PA,,"less than 10,000",Education and Schools
80000-99999,90000,data_scientist,"Business Intelligence, SQL, Excel, Microsoft Access",4,27,3.099999905,30,NY,,,
80000-99999,90000,data_scientist,"Machine Learning, Visual Basic, R, Oracle, C/C++, SQL, Java, Python",8,81,3.5,30,NY,,,Banks and Financial Services
80000-99999,90000,data_scientist,"JavaScript, Spark, Machine Learning, Hadoop, Data Science",5,56,4.099999905,30,CA,,"less than 10,000",Internet and Software
80000-99999,90000,data_scientist,"Data Mining, Machine Learning, R, Python, SQL",5,32,2.700000048,30,KY,,"less than 10,000",Insurance
80000-99999,90000,data_scientist,"Machine Learning, Python, SQL, AWS",4,,,28,MA,,,
80000-99999,90000,data_scientist,"Linux, Data Mining, R, Python, SQL",5,44,3.200000048,12,AZ,,,
80000-99999,90000,data_scientist,"Machine Learning, R, SAS, SQL, Customer Service, Teradata",6,1296,4,19,NV,$5B to $10B ,"10,000+",Restaurants and Travel and Leisure
80000-99999,90000,data_scientist,"Microsoft Powerpoint, Visual Basic, R, Python, SQL, Microsoft Office, Tableau",7,3947,3.400000095,5,FL,$1B to $5B ,"10,000+",
80000-99999,90000,data_scientist,"Statistical Software, Data Mining, Microsoft SQL Server, Microsoft Powerpoint, R, Marketing, SAS, Oracle, Microsoft Office, Minitab, Teradata, STATA, SPSS, MATLAB, Python",15,8595,4,11,WA,more than $10B ,"10,000+",Telecommunications
80000-99999,90000,data_scientist,"Machine Learning, R, SQL",3,,,30,GA,,,
