,Paired Skills,Salary
445,"AWS,Software Development",84529
446,"Hadoop,Natural Language Processing",84527
447,"Business Intelligence,C/C++",84521
448,"Machine Learning,Pig",84498
449,"Microsoft SQL Server,Perl",84486
450,"C/C++,Tableau",84472
451,"Perl,Spark",84342
452,"Python,SPSS",84281
453,"Data Science,R",84277
454,C/C++,84233
455,"C/C++,Kafka",84233
456,"C/C++,TensorFlow",84233
457,"C/C++,Cassandra",84233
458,"JavaScript,Linux",84224
459,"Java,SQL",84186
460,"Business Intelligence,Data Science",84136
461,"R,Tableau",84135
462,"C/C++,HBase",84130
463,"Hadoop,Java",84103
464,"R,TensorFlow",83896
465,R,83896
466,"Cassandra,R",83896
467,"Kafka,R",83896
468,"Excel,R",83876
469,"Hive,Microsoft Office",83860
470,"Microsoft SQL Server,S3",83839
471,"Data Warehouse,Microsoft SQL Server",83807
472,"HBase,R",83793
473,"Git,Project Management",83776
474,"Excel,MATLAB",83708
475,"C/C++,Natural Language Processing",83699
476,"SPSS,SQL",83661
477,"Oracle,Perl",83638
478,"Hive,NoSQL",83590
479,"Data Analysis,Data Science",83590
480,"Big Data,Python",83526
481,"MongoDB,Python",83507
482,"Data Warehouse,Oracle",83466
483,"Data Analysis,Tableau",83448
484,"Hadoop,MongoDB",83436
485,"Azure,SAS",83408
486,"Natural Language Processing,R",83361
487,"Azure,Microsoft SQL Server",83304
488,"C/C++,Java",83275
489,"S3,Software Development",83260
490,"Oracle,S3",83225
491,Data Analysis,83209
492,"Data Analysis,Kafka",83209
493,"Data Analysis,TensorFlow",83209
494,"Cassandra,Data Analysis",83209
495,"Big Data,SQL",83164
496,"Azure,Spark",83161
497,"MongoDB,SQL",83145
498,"Data Analysis,HBase",83106
499,"Project Management,SAS",83003
500,"Java,R",82938
501,"Data Science,Tableau",82918
502,"Business Intelligence,Tableau",82900
503,"Microsoft SQL Server,MySQL",82806
504,"JavaScript,Scala",82801
505,"Azure,Software Development",82726
506,"Data Science,TensorFlow",82679
507,Data Science,82679
508,"Data Science,Kafka",82679
509,"Cassandra,Data Science",82679
510,"Data Analysis,Natural Language Processing",82675
511,"MySQL,Spark",82662
512,"Business Intelligence,Kafka",82661
513,Business Intelligence,82661
514,"Business Intelligence,Cassandra",82661
515,"Business Intelligence,TensorFlow",82661
516,"Data Warehouse,Spark",82641
517,"Hive,Scripting",82579
518,"Data Science,HBase",82576
519,"Business Intelligence,HBase",82558
520,"Big Data,Hadoop",82544
521,Tableau,82537
522,"Tableau,TensorFlow",82537
523,"Kafka,Tableau",82537
524,"Cassandra,Tableau",82537
525,"Hadoop,Linux",82474
526,"AI,Hive",82455
527,"HBase,Tableau",82434
528,"AWS,Python",82415
529,"Cassandra,Kafka",82298
530,Kafka,82298
531,"Cassandra,TensorFlow",82298
532,Cassandra,82298
533,TensorFlow,82298
534,"Kafka,TensorFlow",82298
535,"JavaScript,SPSS",82256
536,"Big Data,C/C++",82252
537,"Data Analysis,Java",82251
538,"C/C++,MongoDB",82233
539,"MySQL,Software Development",82227
540,"Data Warehouse,Software Development",82206
541,"HBase,TensorFlow",82195
542,"HBase,Kafka",82195
543,"Cassandra,HBase",82195
544,HBase,82195
545,"Linux,SQL",82189
546,"Data Science,Natural Language Processing",82145
547,"Business Intelligence,Natural Language Processing",82126
548,"AWS,Hive",82109
549,"Natural Language Processing,Tableau",82002
550,"Big Data,R",81915
551,"JavaScript,Scripting",81903
552,"MongoDB,R",81896
553,"Data Science,MongoDB",81873
554,"C/C++,Linux",81832
555,"Natural Language Processing,TensorFlow",81764
556,"Cassandra,Natural Language Processing",81764
557,Natural Language Processing,81764
558,"Kafka,Natural Language Processing",81764
559,"Data Science,Java",81721
560,"Business Intelligence,Java",81703
561,"MATLAB,PostgreSQL",81678
562,"HBase,Natural Language Processing",81661
563,"Java,Tableau",81578
564,"JavaScript,Microsoft Office",81554
565,"Python,Scala",81496
566,"SAS,SPSS",81490
567,"Hive,Perl",81487
568,"Java,Kafka",81340
569,Java,81340
570,"Java,TensorFlow",81340
571,"Cassandra,Java",81340
572,"Hive,S3",81313
573,"Linux,R",81308
574,"JavaScript,NoSQL",81283
575,"Excel,Shell Scripting",81247
576,"HBase,Java",81237
577,"Big Data,Data Analysis",81228
578,"Data Analysis,MongoDB",81209
579,"Linux,Python",81196
580,"Business Intelligence,Microsoft Office",81164
581,"SQL,Scala",81134
582,"Hadoop,Scala",81051
583,"Excel,Software Development",81018
584,"Big Data,Data Science",80952
585,".Net,PostgreSQL",80878
586,"Java,Natural Language Processing",80805
587,"Big Data,Business Intelligence",80727
588,"Microsoft SQL Server,Project Management",80721
589,"Microsoft Office,Oracle",80688
590,"Business Intelligence,MongoDB",80661
591,"Data Analysis,Linux",80621
592,"Python,Scripting",80597
593,"Project Management,Spark",80578
594,"Big Data,Tableau",80556
595,"Hadoop,NoSQL",80450
596,"Big Data,TensorFlow",80317
597,Big Data,80317
598,"Big Data,Cassandra",80317
599,"Big Data,Kafka",80317
600,"Azure,Hive",80306
601,MongoDB,80298
602,"MongoDB,TensorFlow",80298
603,"Kafka,MongoDB",80298
604,"Cassandra,MongoDB",80298
605,"Microsoft Office,Python",80249
606,"SQL,Scripting",80235
607,"C/C++,Scala",80222
608,"Big Data,HBase",80214
609,"HBase,MongoDB",80195
610,"Hadoop,SPSS",80176
611,"AI,JavaScript",80149
612,"Project Management,Software Development",80143
613,"Data Science,Linux",80091
614,"Business Intelligence,Linux",80073
615,"Hadoop,Scripting",80035
616,"Linux,Tableau",79949
617,"AWS,JavaScript",79918
618,"Microsoft Office,SQL",79886
619,"R,Scala",79885
620,"Hive,MySQL",79807
621,"Hadoop,Microsoft Office",79803
622,"Data Warehouse,Hive",79786
623,"NoSQL,Python",79783
624,"Big Data,Natural Language Processing",79782
625,"MongoDB,Natural Language Processing",79764
626,"Linux,TensorFlow",79710
627,Linux,79710
628,"Cassandra,Linux",79710
629,"Kafka,Linux",79710
630,"C/C++,SPSS",79677
631,"NoSQL,SQL",79616
632,"HBase,Linux",79607
633,"Oracle,PostgreSQL",79597
634,"Business Intelligence,Perl",79563
635,"Big Data,Java",79359
636,"Java,MongoDB",79340
637,"C/C++,Scripting",79324
638,"C/C++,Microsoft Office",79258
639,"Data Analysis,Scala",79198
640,"JavaScript,Perl",79181
641,"Linux,Natural Language Processing",79176
642,"AI,Python",79125
643,"Excel,SAS",79107
644,"MySQL,Python",79003
645,"R,Scripting",78986
646,"C/C++,NoSQL",78986
647,"R,SPSS",78961
648,"Excel,Git",78788
649,"Java,Linux",78752
650,"PostgreSQL,Shell Scripting",78692
651,"Data Science,Scala",78668
652,"Data Analysis,SPSS",78652
653,"Business Intelligence,Scala",78650
654,"Microsoft Office,R",78637
655,"Big Data,MongoDB",78622
656,"JavaScript,S3",78533
657,"Scala,Tableau",78526
658,"AI,SQL",78481
659,"AI,Hadoop",78398
660,"NoSQL,R",78367
661,Scala,78287
