Id,Source,Target,Type,Weight,nodes,links
413,Data Warehouse,Hive,Directed,2,"opts.GraphNode(name=""Hive"",symbol_size=2),","opts.GraphLink(source=""Data Warehouse"", target=""Hive""),"
414,Data Warehouse,SAS,Directed,2,"opts.GraphNode(name=""SAS"",symbol_size=2),","opts.GraphLink(source=""Data Warehouse"", target=""SAS""),"
415,Data Warehouse,Big Data,Directed,4,"opts.GraphNode(name=""Big Data"",symbol_size=4),","opts.GraphLink(source=""Data Warehouse"", target=""Big Data""),"
416,Data Warehouse,AWS,Directed,2,"opts.GraphNode(name=""AWS"",symbol_size=2),","opts.GraphLink(source=""Data Warehouse"", target=""AWS""),"
417,Data Warehouse,Oracle,Directed,2,"opts.GraphNode(name=""Oracle"",symbol_size=2),","opts.GraphLink(source=""Data Warehouse"", target=""Oracle""),"
418,Data Warehouse,Data Warehouse,Directed,28,"opts.GraphNode(name=""Data Warehouse"",symbol_size=28),","opts.GraphLink(source=""Data Warehouse"", target=""Data Warehouse""),"
419,Data Warehouse,Linux,Directed,4,"opts.GraphNode(name=""Linux"",symbol_size=4),","opts.GraphLink(source=""Data Warehouse"", target=""Linux""),"
420,Data Warehouse,AI,Directed,2,"opts.GraphNode(name=""AI"",symbol_size=2),","opts.GraphLink(source=""Data Warehouse"", target=""AI""),"
421,Data Warehouse,Microsoft SQL Server,Directed,2,"opts.GraphNode(name=""Microsoft SQL Server"",symbol_size=2),","opts.GraphLink(source=""Data Warehouse"", target=""Microsoft SQL Server""),"
422,Data Warehouse,Scripting,Directed,2,"opts.GraphNode(name=""Scripting"",symbol_size=2),","opts.GraphLink(source=""Data Warehouse"", target=""Scripting""),"
423,Data Warehouse,Excel,Directed,18,"opts.GraphNode(name=""Excel"",symbol_size=18),","opts.GraphLink(source=""Data Warehouse"", target=""Excel""),"
424,Data Warehouse,JavaScript,Directed,2,"opts.GraphNode(name=""JavaScript"",symbol_size=2),","opts.GraphLink(source=""Data Warehouse"", target=""JavaScript""),"
425,Linux,Python,Directed,16,"opts.GraphNode(name=""Python"",symbol_size=16),","opts.GraphLink(source=""Linux"", target=""Python""),"
426,Linux,SQL,Directed,16,"opts.GraphNode(name=""SQL"",symbol_size=16),","opts.GraphLink(source=""Linux"", target=""SQL""),"
427,Linux,R,Directed,20,"opts.GraphNode(name=""R"",symbol_size=20),","opts.GraphLink(source=""Linux"", target=""R""),"
428,Linux,Hadoop,Directed,4,"opts.GraphNode(name=""Hadoop"",symbol_size=4),","opts.GraphLink(source=""Linux"", target=""Hadoop""),"
429,Linux,Spark,Directed,6,"opts.GraphNode(name=""Spark"",symbol_size=6),","opts.GraphLink(source=""Linux"", target=""Spark""),"
430,Linux,Java,Directed,8,"opts.GraphNode(name=""Java"",symbol_size=8),","opts.GraphLink(source=""Linux"", target=""Java""),"
431,Linux,Tableau,Directed,16,"opts.GraphNode(name=""Tableau"",symbol_size=16),","opts.GraphLink(source=""Linux"", target=""Tableau""),"
432,Linux,Hive,Directed,2,"opts.GraphNode(name=""Hive"",symbol_size=2),","opts.GraphLink(source=""Linux"", target=""Hive""),"
433,Linux,SAS,Directed,2,"opts.GraphNode(name=""SAS"",symbol_size=2),","opts.GraphLink(source=""Linux"", target=""SAS""),"
434,Linux,Big Data,Directed,6,"opts.GraphNode(name=""Big Data"",symbol_size=6),","opts.GraphLink(source=""Linux"", target=""Big Data""),"
