,loc
337,"[40.7524472, -73.9646461]"
338,"[40.75513875, -73.9759335]"
339,"[34.220389, 70.3800314]"
340,"[34.220389, 70.3800314]"
341,
342,"[40.74123595, -73.356691165361]"
343,"[40.7127281, -74.0060152]"
344,"[40.7127281, -74.0060152]"
345,"[40.7555755, -73.97503]"
346,"[40.7127281, -74.0060152]"
347,"[40.7644002, -73.998863]"
348,"[40.74123595, -73.356691165361]"
349,"[40.6501038, -73.9495823]"
350,"[34.220389, 70.3800314]"
351,"[40.7555755, -73.97503]"
352,"[40.7127281, -74.0060152]"
353,"[40.7127281, -74.0060152]"
354,"[40.7127281, -74.0060152]"
355,"[40.7127281, -74.0060152]"
356,"[34.220389, 70.3800314]"
357,"[40.7607161, -73.9669623]"
358,"[40.7644002, -73.998863]"
359,"[40.7127281, -74.0060152]"
360,"[34.220389, 70.3800314]"
361,"[40.7127281, -74.0060152]"
362,"[40.7602435, -74.0028752]"
363,"[34.220389, 70.3800314]"
364,"[34.220389, 70.3800314]"
365,"[40.7592198626712, -73.9778358750711]"
366,"[40.7127281, -74.0060152]"
367,"[34.220389, 70.3800314]"
368,"[40.72982535, -73.9607519781549]"
369,"[34.220389, 70.3800314]"
370,"[40.7127281, -74.0060152]"
371,"[34.220389, 70.3800314]"
372,"[40.7127281, -74.0060152]"
373,"[34.220389, 70.3800314]"
374,"[40.8157775, -73.951554]"
375,"[40.7127281, -74.0060152]"
376,"[40.7127281, -74.0060152]"
377,"[40.7644002, -73.998863]"
378,"[40.7484282571429, -73.9855041857143]"
379,"[40.7127281, -74.0060152]"
380,"[40.6524927, -73.7914214158161]"
381,"[34.220389, 70.3800314]"
382,"[40.7127281, -74.0060152]"
383,"[40.7127281, -74.0060152]"
384,"[40.7127281, -74.0060152]"
385,"[34.220389, 70.3800314]"
386,"[40.7127281, -74.0060152]"
387,"[40.7127281, -74.0060152]"
388,"[34.220389, 70.3800314]"
389,"[34.220389, 70.3800314]"
390,"[40.72982535, -73.9607519781549]"
391,"[34.220389, 70.3800314]"
392,"[40.7127281, -74.0060152]"
393,"[40.7127281, -74.0060152]"
394,"[34.220389, 70.3800314]"
395,
396,"[40.7589594623532, -73.9795718759534]"
397,"[40.7644002, -73.998863]"
398,"[34.220389, 70.3800314]"
399,"[40.7127281, -74.0060152]"
400,
401,"[40.7127281, -74.0060152]"
402,"[40.7127281, -74.0060152]"
